AbilityID,GOID,AbilityName
106,-2147375104,MaxHealthAbility
107,-2147374080,FlashBombAbility
108,-2147373056,CurrentHealthAbility
109,-2147372032,MaxInnerstrengthAbility
110,-2147371008,CombatEvasionAbility
111,-2147369984,CurrentInnerstrengthAbility
112,-2147368960,HealthRegenRateAbility
113,-2147367936,CombatInsightAbility
114,-2147366912,InnerstrengthRegenRateAbility
115,-2147365888,MovementSpeedAbility
116,-2147364864,CombatToughnessAbility
117,-2147363840,InnerstrengthCostModifierAbility
118,-2147362816,CutthroatAbility
119,-2147361792,DisarmTrapsAbility
120,-2147360768,DisguiseAbility
121,-2147359744,EscapeSideRollAbility
122,-2147358720,EscapeBackRollAbility
123,-2147357696,FindWeaknessAbility
124,-2147356672,FirearmsAbility
125,-2147355648,FirearmsExpertAbility
126,-2147354624,PistolDisarmingShotAbility
127,-2147353600,BuffAreaRadiusAbility
128,-2147352576,GunmanAbility
129,-2147351552,HandgunsAbility
130,-2147350528,HinderingShotAbility
131,-2147349504,InfiltratorAbility
132,-2147348480,KarateAbility
133,-2147347456,KungFuAbility
134,-2147346432,LegSweepAbility
135,-2147345408,MartialArtsAbility
136,-2147344384,MartialArtsExpertiseAbility
137,-2147343360,MartialArtsInitiateAbility
138,-2147342336,GuardBreakerAbility
139,-2147341312,IronGuardAbility
140,-2147340288,MultifightingAbility
141,-2147339264,NeuroDartAbility
142,-2147338240,OpenLocksAbility
143,-2147337216,OperativeAbility
144,-2147336192,DamageResistanceAbility
145,-2147335168,OverhandSmashAbility
146,-2147334144,PoisonKnifeAbility
147,-2147333120,RiflesAbility
148,-2147332096,SharpshooterAbility
149,-2147331072,SixthSenseAbility
150,-2147330048,CompelCloseCombatAbility
151,-2147329024,SneakAbility
152,-2147328000,SneakAttackSpinBackAbility
153,-2147326976,SneakAttackDropKickAbility
154,-2147325952,SoldierAbility
155,-2147324928,SpyAbility
156,-2147323904,StealthAwarenessAbility
157,-2147322880,ViralResistanceAbility
158,-2147321856,SubmachinegunsAbility
159,-2147320832,MeleePhysicalDamageAbility
160,-2147319808,AllAbilityLevelsAbility
161,-2147318784,UncannySensesAbility
162,-2147317760,MaxBuffBufferAbility
163,-2147316736,CombatTacticsAbility
164,-2147315712,WeakPointsAbility
165,-2147314688,TapDataNodeAbility
166,-2147313664,HackConstructKeyAbility
167,-2147312640,None
168,-2147311616,WithdrawCombatAbility
169,-2147310592,EmergencyRepairs1Ability
170,-2147309568,PassiveCodeAbility
171,-2147308544,RangePhysicalDamageAbility
172,-2147307520,ViralDamageAbility
173,-2147306496,CombatEnhancement1Ability
174,-2147305472,HealDamageAbility
175,-2147304448,InvisibilityAbility
176,-2147303424,CoveringFireAbility
177,-2147302400,DebuffAreaRadiusAbility
178,-2147301376,InvokedDebuffTimesAbility
179,-2147300352,InvokedBuffTimesAbility
180,-2147299328,MeleeDamageResistanceAbility
181,-2147298304,RangedDamageResistanceAbility
182,-2147297280,StealthDamageResistanceAbility
183,-2147296256,ViralDeflectionAbility
184,-2147295232,HyperSprintAbility
185,-2147294208,IntenseAttackAbility
186,-2147293184,ImprovedSneakAbility
187,-2147292160,PillBolsterHealthAbility
188,-2147291136,PillBolsterHealth2Ability
189,-2147290112,PillBolsterHealth3Ability
190,-2147289088,PillHealthReplenish1Ability
191,-2147288064,PillHealthReplenish2Ability
192,-2147287040,PillHealthReplenish3Ability
193,-2147286016,PillHealthReplenish4Ability
194,-2147284992,ConditionStatesAbility
195,-2147283968,ForceCloseCombatAbility
196,-2147282944,IgnorePainAbility
197,-2147281920,HeadButtAbility
198,-2147280896,CheapShotAbility
199,-2147279872,DazeAbility
200,-2147278848,OffBalanceAbility
201,-2147277824,StaggeredAbility
202,-2147276800,DeathEffectAbility
203,-2147275776,SpeedTacticAbility
204,-2147274752,StealthDetectionAbility
205,-2147273728,GrabTacticAbility
206,-2147272704,PowerTacticAbility
207,-2147271680,WoodenStakeAttackAbility
208,-2147270656,SilverBulletAttackAbility
209,-2147269632,StealthAbility
210,-2147268608,TacticISCostModifierAbility
211,-2147267584,VulnerabilityDurationModifierAbility
212,-2147266560,DamageAgainstVulnerabilityAbility
213,-2147265536,VulnerabilityGenerationPercentAbility
214,-2147264512,SelectionRangeAbility
215,-2147263488,LocateDataNodeAbility
216,-2147262464,JackoutAbility
217,-2147261440,EvadeCombatAbility
218,-2147260416,DisableSecurityDevicesAbility
219,-2147259392,SpeedTacticsAbility
220,-2147258368,PowerTacticsAbility
221,-2147257344,GrabTacticsAbility
222,-2147256320,GrabDamageAbility
223,-2147255296,SpeedDamageAbility
224,-2147254272,PowerDamageAbility
225,-2147253248,GrabGunDamageAbility
226,-2147252224,PowerGunDamageAbility
227,-2147251200,SpeedGunDamageAbility
228,-2147250176,GrabGunTacticsAbility
229,-2147249152,PowerGunTacticsAbility
230,-2147248128,SpeedGunTacticsAbility
231,-2147247104,DisarmedAbility
232,-2147246080,CombatDisarmedAbility
233,-2147245056,ClearHeadAbility
234,-2147244032,RestoreHealth3Ability
235,-2147243008,RestoreHealth5Ability
236,-2147241984,DoctorAbility
237,-2147240960,FastHealing2Ability
238,-2147239936,HarmfulCode2Ability
239,-2147238912,DualHandgunsAbility
240,-2147237888,GunslingerAbility
241,-2147236864,PistolSlideAbility
242,-2147235840,PistolEvasiveAbility
243,-2147234816,PistolAerialAbility
244,-2147233792,PistolBarrageAbility
245,-2147232768,ScattershotAbility
246,-2147231744,DualSubmachineGunsAbility
247,-2147230720,BulletSprayAbility
248,-2147229696,SuppressionFireAbility
249,-2147228672,SlidingVolleyAbility
250,-2147227648,ControlledBurstAbility
251,-2147226624,RiflemanAbility
252,-2147225600,AdvancedRifleryAbility
253,-2147224576,WoundingShotAbility
254,-2147223552,ImmobilizingShotAbility
255,-2147222528,DisablingShotAbility
256,-2147221504,ThreeRoundBurstAbility
257,-2147220480,KungFuMasterAbility
258,-2147219456,KungfuMasteryAbility
259,-2147218432,DimMakStrikeAbility
260,-2147217408,MisdirectPunchAbility
261,-2147216384,MachinegunFistComboAbility
262,-2147215360,PistonKicksAbility
263,-2147214336,KarateMasterAbility
264,-2147213312,KarateExpertiseAbility
265,-2147212288,KiChargedPunchAbility
266,-2147211264,SidekickComboAbility
267,-2147210240,SkyHighSidekickAbility
268,-2147209216,SwirlingKiSummonAbility
269,-2147208192,AikidoMasteryAbility
270,-2147207168,AikidoMasterAbility
271,-2147206144,IronBodyAbility
272,-2147205120,SereneCalmAbility
273,-2147204096,CounterThrowAbility
274,-2147203072,MakiOtoshiAbility
275,-2147202048,ProgrammerAbility
276,-2147201024,DecompileItemsAbility
277,-2147200000,CompileAbility
278,-2147198976,WickedAimAbility
279,-2147197952,DeadlyThrowAbility
280,-2147196928,CripplingThrowAbility
281,-2147195904,WoundingThrowAbility
282,-2147194880,BlindingThrowAbility
283,-2147193856,KnifeThrowerAbility
284,-2147192832,ImprovedSneakAttackAbility
285,-2147191808,AssassinAbility
286,-2147190784,SneakAttackSpinThrowAbility
287,-2147189760,SneakAttackSuplexAbility
288,-2147188736,SneakAttackTopsyTurvyAbility
289,-2147187712,SneakAttackPuntAbility
290,-2147186688,ShadowAbility
291,-2147185664,DesperateSpeedAbility
292,-2147184640,EscapeCartwheelAbility
293,-2147183616,StealthCountermeasuresAbility
294,-2147182592,ShiftyTechniqueAbility
295,-2147181568,CannyStrikeAbility
296,-2147180544,AikidoSpinClayPigeonAbility
297,-2147179520,CryptographyAbility
298,-2147178496,DetectionAbility
299,-2147177472,SuspiciousCynic
300,-2147176448,TrueBeliever
301,-2147175424,TroubledIntellectual
302,-2147174400,NewAgeHippy
303,-2147173376,FanaticSelfImprover
304,-2147172352,DevotedAscetic
305,-2147171328,LunaticFringe
306,-2147170304,InquisitiveGenius
307,-2147169280,SecludedIntrovert
308,-2147168256,DetachedSpectator
309,-2147167232,StandOffAbility
310,-2147166208,ArbalestAbility
311,-2147165184,LogicBlast4Ability
312,-2147164160,LogicBlast5Ability
313,-2147163136,LogicCannon1Ability
314,-2147162112,UpgradeAttacksAbility
315,-2147161088,Stun1Ability
316,-2147160064,DodgeAbility
317,-2147159040,PotencyAbility
318,-2147158016,UpgradeArtistAbility
319,-2147156992,PersonalFirewall2Ability
320,-2147155968,NegativeConditionSweep1Ability
321,-2147154944,Efficiency1Ability
322,-2147153920,BolsterHealth2Ability
323,-2147152896,MovementAccelerator2Ability
324,-2147151872,CounterUpgrade1Ability
325,-2147150848,RestoreRSIAbility
326,-2147149824,RevitalizeRSIAbility
327,-2147148800,AvoidanceAbility
328,-2147147776,CodeBranchingAbility
329,-2147146752,LogicBlast6Ability
330,-2147145728,LogicBarrageAbility
331,-2147144704,LogicCannon2Ability
332,-2147143680,EmergencyRepairs2Ability
333,-2147142656,Stun2Ability
334,-2147141632,BallistaAbility
335,-2147140608,ArtilleristAbility
336,-2147139584,LogicBomb2Ability
337,-2147138560,LogicBomb3Ability
338,-2147137536,MasterKnifeThrowerAbility
339,-2147136512,DeadlyAimAbility
340,-2147135488,ThroatCuttingThrowAbility
341,-2147134464,SeverArteryAbility
342,-2147133440,ViralTransmissionAbility
343,-2147132416,Miasma2Ability
344,-2147131392,CombatHackingAbility
345,-2147130368,RangeBoosterAbility
346,-2147129344,DedicatedCodeAbility
347,-2147128320,SubduingThrowAbility
348,-2147127296,StaggeringThrowAbility
349,-2147126272,HostileProgrammingAbility
350,-2147125248,CodeInfection1Ability
351,-2147124224,CodeInfection2Ability
352,-2147123200,FreezeSystem2Ability
353,-2147122176,InfectArea1Ability
354,-2147121152,DestroyResolve1Ability
355,-2147120128,VectorAbility
356,-2147119104,HowitzerAbility
357,-2147118080,LogicBomb4Ability
358,-2147117056,CodeShieldAbility
359,-2147116032,CodeNukeAbility
360,-2147115008,InsidiousCodeAbility
361,-2147113984,FumbleFieldAbility
362,-2147112960,WhiteNoiseAbility
363,-2147111936,ImprovedInvisibilityAbility
364,-2147110912,SmokeBombAbility
365,-2147109888,GhostStrikeAbility
366,-2147108864,ImpartInvisibilityAbility
367,-2147107840,MasterShadowAbility
368,-2147106816,VanishAbility
369,-2147105792,CorpsmanAbility
370,-2147104768,DedicationAbility
371,-2147103744,GroupRepairs3Ability
372,-2147102720,GroupRepairs4Ability
373,-2147101696,CombatTrainingAbility
374,-2147100672,WeaponsBoostAbility
375,-2147099648,ReviveRSIAbility
376,-2147098624,AdvancedDamageResistanceAbility
377,-2147097600,CancelUpgrade1Ability
378,-2147096576,DeflectVirus1Ability
379,-2147095552,SweepParty1Ability
380,-2147094528,DeflectBullets1Ability
381,-2147093504,GroupHeal1Ability
382,-2147092480,RecallTeamMemberAbility
383,-2147091456,ForceEnhancerAbility
384,-2147090432,DisruptConnectionAbility
385,-2147089408,SneakAttackDivingFrankAbility
386,-2147088384,SneakAttackFreeJointsAbility
387,-2147087360,SneakAttackBullDogAbility
388,-2147086336,SneakAttackRevBullDogAbility
389,-2147085312,MasterAssassinAbility
390,-2147084288,SkriptKiddieAbility
391,-2147083264,EffectiveCodeAbility
392,-2147082240,CodeRot1Ability
393,-2147081216,CodeStop1Ability
394,-2147080192,Overheat2Ability
395,-2147079168,BufferOverflow1Ability
396,-2147078144,CrashAbility
397,-2147077120,GameMasterAbility
398,-2147076096,RepelInfectionAbility
399,-2147075072,ZoneOfPowerlessnessAbility
400,-2147074048,PlagueZone1Ability
401,-2147073024,InefficiencyField1Ability
402,-2147072000,BottleneckFieldAbility
403,-2147070976,DisruptionFieldAbility
404,-2147069952,DespoilerAbility
405,-2147068928,AikidoRedirectionAbility
406,-2147067904,KiBurstAbility
407,-2147066880,PunchReversalAbility
408,-2147065856,AbilityTestAbility
409,-2147064832,ClearMindAbility
410,-2147063808,AikidoGrandmasterAbility
411,-2147062784,AerialTakedownAbility
412,-2147061760,TomoNageAbility
413,-2147060736,RestoreHealth6Ability
414,-2147059712,ExtremeHealingAbility
415,-2147058688,HarmfulCode3Ability
416,-2147057664,RejuvenateRSIAbility
417,-2147056640,UpgradeHealthAbility
418,-2147055616,PhysicianAbility
419,-2147054592,BolsterHealth3Ability
420,-2147053568,DeleteUpgrade2Ability
421,-2147052544,EnhancedDodgeAbility
422,-2147051520,EnhancedPotencyAbility
423,-2147050496,MovementAccelerator3Ability
424,-2147049472,NegativeConditionSweep2Ability
425,-2147048448,UpgradeMasterAbility
426,-2147047424,KungFuGrandmasterAbility
427,-2147046400,TripleFrontKickAbility
428,-2147045376,SuicidalButterflyAbility
429,-2147044352,ExtremeFallingKickAbility
430,-2147043328,WoodenDummyDrillAbility
431,-2147042304,KungFuPerfectionAbility
432,-2147041280,NPCKilledOnlyByHolyWaterAbility
433,-2147040256,TotalDedicationAbility
434,-2147039232,GroupRepairs5Ability
435,-2147038208,GroupRepairs6Ability
436,-2147037184,ViralShieldingAbility
437,-2147036160,PanickedHealAbility
438,-2147035136,RenewRSIAbility
439,-2147034112,TraumaSurgeonAbility
440,-2147033088,ExpertRiflemanAbility
441,-2147032064,RifleMasteryAbility
442,-2147031040,SteadyAimAbility
443,-2147030016,NPCAbility
444,-2147028992,NPCBoostUnderlingsAbility
445,-2147027968,None
446,-2147026944,NPCBloodDrinkAbility
447,-2147025920,NPCHealthRegenLowAbility
448,-2147024896,NPCTwinRazor2Ability
449,-2147023872,NPCPounceAbility
450,-2147022848,CripplingShotAbility
451,-2147021824,NPCTwinRazorAbility
452,-2147020800,None
453,-2147019776,RifleButtSmashAbility
454,-2147018752,DeadlyShotAbility
455,-2147017728,None
456,-2147016704,NPCFeralScentAbility
457,-2147015680,NPCHealthRegenMediumAbility
458,-2147014656,NPCHealthRegenHighAbility
459,-2147013632,None
460,-2147012608,NPCImmortalAbility
461,-2147011584,InfectionImmunityAbility
462,-2147010560,EnrageFoesAbility
463,-2147009536,NPCKilledOnlyBySilverAbility
464,-2147008512,NPCKilledOnlyByWoodAbility
465,-2147007488,UILag2Ability
466,-2147006464,PlagueZone2Ability
467,-2147005440,InefficiencyField2Ability
468,-2147004416,DevastationFieldAbility
469,-2147003392,DestroyerAbility
470,-2147002368,RavagerAbility
471,-2147001344,AttackProgrammingAbility
472,-2147000320,CodeInfection3Ability
473,-2146999296,FreezeSystem3Ability
474,-2146998272,CodeInfection4Ability
475,-2146997248,InfectArea2Ability
476,-2146996224,DestroyHealthAbility
477,-2146995200,EfficientCodeAbility
478,-2146994176,CodeFluxAbility
479,-2146993152,FreezeArea2Ability
480,-2146992128,CombatShutdownAbility
481,-2146991104,BufferOverflow2Ability
482,-2146990080,CodeShockAbility
483,-2146989056,NetworkAttackerAbility
484,-2146988032,SupremeDamageResistanceAbility
485,-2146987008,CombatAura2Ability
486,-2146985984,RecallMissionTeamAbility
487,-2146984960,SweepParty2Ability
488,-2146983936,CancelUpgrade2Ability
489,-2146982912,ImprovedHackingAbility
490,-2146981888,ForceMultiplierAbility
491,-2146980864,SubmachineGunSpecialAbility
492,-2146979840,PinningFireAbility
493,-2146978816,DirectFireAbility
494,-2146977792,FullAutoAbility
495,-2146976768,SMGSpecialistAbility
496,-2146975744,FullAutoReduxAbility
497,-2146974720,DuelistAbility
498,-2146973696,HandgunArtistryAbility
499,-2146972672,PistolPointBlankAbility
500,-2146971648,PistolDashAbility
501,-2146970624,PistolWhipAbility
502,-2146969600,PistolExecutionAbility
503,-2146968576,ConcealmentAbility
504,-2146967552,ConcealedShotAbility
505,-2146966528,SniperShotAbility
506,-2146965504,LineUpTheShotAbility
507,-2146964480,EscapeandEvasionAbility
508,-2146963456,SniperAbility
509,-2146962432,NoiseLevelBuffTargetAbility
510,-2146961408,RippleMagBuffTargetAbility
511,-2146960384,PillHealthReplenish5Ability
512,-2146959360,RepairItemsAbility
513,-2146958336,QuickCodingAbility
514,-2146957312,AdvancedTinkeringAbility
515,-2146956288,CodeCrafterAbility
516,-2146955264,AbilityMakerAbility
517,-2146954240,WeaponMakerAbility
518,-2146953216,ToolMakerAbility
519,-2146952192,ForceCombatAbility
520,-2146951168,EvadeInterlockAbility
521,-2146950144,UpgradeMakerAbility
522,-2146949120,MeleeCombatTacticsAbility
523,-2146948096,StealthDamageAbility
524,-2146947072,RangeCombatTacticsAbility
525,-2146946048,InnerstrengthStandRegenRateAbility
526,-2146945024,HealthSitRegenRateAbility
527,-2146944000,HealthStandRegenRateAbility
528,-2146942976,ApparelMakerAbility
529,-2146941952,SignalProtectionAbility
530,-2146940928,CraftingCostDiscountAbility
531,-2146939904,KarateFocusAbility
532,-2146938880,MachinegunKickAbility
533,-2146937856,KarateGrandmasterAbility
534,-2146936832,WristThrowAbility
535,-2146935808,BerserkerAttackAbility
536,-2146934784,KiChargedFootSweepAbility
537,-2146933760,DataMinerAbility
538,-2146932736,DataNodeGogglesAbility
539,-2146931712,DataTapAbility
540,-2146930688,AdvancedDataNodeGogglesAbility
541,-2146929664,AdvancedDataTapAbility
542,-2146928640,None
543,-2146927616,None
544,-2146926592,None
545,-2146925568,CrashStateAbility
546,-2146924544,None
547,-2146923520,HolyWaterAttackAbility
548,-2146922496,TacticBoost1Ability
549,-2146921472,TacticBoost2Ability
550,-2146920448,TacticBoost3Ability
551,-2146919424,TacticBoost4Ability
552,-2146918400,RifleDamageAbility
553,-2146917376,HandGunDamageAbility
554,-2146916352,SubmachineGunDamageAbility
555,-2146915328,HandGunCombatTacticsAbility
556,-2146914304,RifleCombatTacticsAbility
557,-2146913280,SubmachineGunCombatTacticsAbility
558,-2146912256,AimmedShotTacticsAbility
559,-2146911232,BurstTacticsAbility
560,-2146910208,RetaliateTacticsAbility
561,-2146909184,AimmedShotDamageAbility
562,-2146908160,BurstDamageAbility
563,-2146907136,RetaliateDamageAbility
564,-2146906112,ConcentrationAbility
565,-2146905088,NPCKissAbility
566,-2146904064,PreOrderHyperLeapAbility
567,-2146903040,SuperJumpAbility
568,-2146902016,JumpAbility
569,-2146900992,KarateCombatTacticsAbility
570,-2146899968,KungFuCombatTacticsAbility
571,-2146898944,AikidoCombatTacticsAbility
572,-2146897920,AikidoDamageAbility
573,-2146896896,KarateDamageAbility
574,-2146895872,KungFuDamageAbility
575,-2146894848,DeterminationAbility
576,-2146893824,NPCCounterSneakAbility
577,-2146892800,SneakAttackDetectionAbility
578,-2146891776,None
579,-2146890752,None
580,-2146889728,None
581,-2146888704,None
582,-2146887680,None
583,-2146886656,None
584,-2146885632,None
585,-2146884608,RunAdvancedProgramAbility
586,-2146883584,RemoteProxy4Ability
587,-2146882560,RepairSimulacra3Ability
588,-2146881536,Enrage1Ability
589,-2146880512,ProxyTechnicianAbility
590,-2146879488,StaticBlast2Ability
591,-2146878464,StaticBlast3Ability
592,-2146877440,WeaponReqsNotMetEffectAbility
593,-2146876416,TransmitCodeAbility
594,-2146875392,RemoteProxy5Ability
595,-2146874368,StunPulseAbility
596,-2146873344,RepairSimulacra4Ability
597,-2146872320,Enrage2Ability
598,-2146871296,StaticBlast4Ability
599,-2146870272,ProxyMasterAbility
600,-2146869248,CloseCombatTrainingAbility
601,-2146868224,LogicDaemon2Ability
602,-2146867200,PatchDaemon1Ability
603,-2146866176,AcousticDecoy1Ability
604,-2146865152,UtilityCoderAbility
605,-2146864128,LowBlowAbility
606,-2146863104,BlockTacticsAbility
607,-2146862080,AcousticDecoy2Ability
608,-2146861056,CodeHardeningAbility
609,-2146860032,DaemonBoostAbility
610,-2146859008,EngageFoesAbility
611,-2146857984,LogicDaemon3Ability
612,-2146856960,PatchDaemon2Ability
613,-2146855936,UtilityTechnicianAbility
614,-2146854912,EnhanceDaemonAbility
615,-2146853888,FixSimulacraAbility
616,-2146852864,LogicDaemon4Ability
617,-2146851840,PatchDaemon3Ability
618,-2146850816,BashAbility
619,-2146849792,DaemonBoost2Ability
620,-2146848768,UtilityMasterAbility
621,-2146847744,FindDataNodeAbility
622,-2146846720,SiphonDataNodeAbility
623,-2146845696,ConcealedAbility
624,-2146844672,EvasionStateAbility
625,-2146843648,NPCWeaklingPenaltyAbility
626,-2146842624,NPCToughPenaltyAbility
627,-2146841600,NPCDetectionAbility
628,-2146840576,ConcentrateAbility
629,-2146839552,InvisibilityImpartedAbility
630,-2146838528,NPCVirusBlindDoNotUseAbility
631,-2146837504,None
632,-2146836480,None
633,-2146835456,NPCWolfAttack4Ability
634,-2146834432,NPCWolfAttack1Ability
635,-2146833408,NPCWolfAttack2Ability
636,-2146832384,NPCWolfAttack3Ability
637,-2146831360,ConsistencyAbility
638,-2146830336,DetectAbility
639,-2146829312,DisguiseDurationAbility
640,-2146828288,SecuritySystemsAbility
641,-2146827264,MapDownloadingAbility
642,-2146826240,AnalyzeWeaknessAbility
643,-2146825216,ComputerHackingAbility
644,-2146824192,InvisDurationAbility
645,-2146823168,LockPickingAbility
646,-2146822144,SixthSensingAbility
647,-2146821120,TauntAbility
648,-2146820096,StabilityLossReductionAbility
649,-2146819072,CodeWritingAbility
650,-2146818048,ItemDecompilingAbility
651,-2146817024,ItemCompilingAbility
652,-2146816000,ApparelCraftingAbility
653,-2146814976,AbilityCraftingAbility
654,-2146813952,ToolCraftingAbility
655,-2146812928,WeaponCraftingAbility
656,-2146811904,UpgradeCraftingAbility
657,-2146810880,NPCMinorTacticBoostAbility
658,-2146809856,NPCMediumTacticBoostAbility
659,-2146808832,PillConditionSweep1Ability
660,-2146807808,StableMezAbility
661,-2146806784,NPCPenaltyBaseAbility
662,-2146805760,NPCDisguiseAbility
663,-2146804736,DazeEffectAbility
664,-2146803712,StaggeredEffectAbility
665,-2146802688,OffBalanceEffectAbility
666,-2146801664,None
667,-2146800640,None
668,-2146799616,None
669,-2146798592,None
670,-2146797568,CombatEffectAbility
671,-2146796544,SittingEffectAbility
672,-2146795520,PillBolsterHealth1Ability
673,-2146794496,PillBolsterHealth4Ability
674,-2146793472,Antibiotic1Ability
675,-2146792448,Antibiotic2Ability
676,-2146791424,Antibiotic3Ability
677,-2146790400,Antibiotic4Ability
678,-2146789376,Antibiotic5Ability
679,-2146788352,None
680,-2146787328,None
681,-2146786304,ISDrainTargetAbility
682,-2146785280,aaVirusDamage1Ability
683,-2146784256,aaVirusEnhacedDamageAbility
684,-2146783232,aaLogicCannonAbility
685,-2146782208,aaHeal1Ability
686,-2146781184,aaHeal2Ability
687,-2146780160,aaMeleeMove1
688,-2146779136,aaMeleeMove2
689,-2146778112,aaRangeMove1
690,-2146777088,aaRangeMove2
691,-2146776064,aaSneakAttack
692,-2146775040,DeflectBullets1EffectAbility
693,-2146774016,DeflectVirus1EffectAbility
694,-2146772992,StaticField1EffectAbility
695,-2146771968,CombatAura1EffectAbility
696,-2146770944,CombatAura2EffectAbility
697,-2146769920,CodeShaperEffectAbility
698,-2146768896,ProxyTechnicianEffectAbility
699,-2146767872,DaemonBoostEffectAbility
700,-2146766848,DaemonBoost2EffectAbility
701,-2146765824,Miasma1EffectAbility
702,-2146764800,aaDOT1
703,-2146763776,LocateDataNodeSkillAbility
704,-2146762752,TapDataNodeSkillAbility
705,-2146761728,RepairBonusAbility
706,-2146760704,CompileSkillAbility
707,-2146759680,DecompileSkillAbility
708,-2146758656,RepairSkillAbility
709,-2146757632,CryptographySkillAbility
710,-2146756608,NullTargetAbility
711,-2146755584,aaHealPillAbility
712,-2146754560,NPCHealthBoostAbility
713,-2146753536,aaRoot1Ability
714,-2146752512,NPCAssassinAbility
715,-2146751488,PVPEffectAbility
716,-2146750464,HealInhaler1Ability
717,-2146749440,HealInhaler2Ability
718,-2146748416,HealInhaler3Ability
719,-2146747392,HealInhaler4Ability
720,-2146746368,HealInhaler5Ability
721,-2146745344,PVPFlipperAbility
722,-2146744320,NPCChainFlameAbility
723,-2146743296,NPCChainFlameTriggerAbility
724,-2146742272,NPCChainFlameEffectAbility
725,-2146741248,NPCMorpheusSpeechAbility
726,-2146740224,None
727,-2146739200,None
728,-2146738176,None
729,-2146737152,None
730,-2146736128,None
731,-2146735104,None
732,-2146734080,None
733,-2146733056,None
