Gender,Clothing,Item Name,Min Character Lvl,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus,Bonus Name,Bonus
M,COAT,Enhanced Magenta Avero Suit Coat Highcollar,8,MeleeDamageResistance ,5,MeleeResistanceBonus ,1,BallisticResistanceBonus ,1,ThrowResistance ,5,ViralResistance ,5
M,COAT,Enhanced Magenta Misene Fauxskin Coat Highcollar,15,MeleeDamageResistance ,10,ViralResistance ,10,ThrowResistance ,10,WeaponCrafting ,1,CodeWriting ,1,,
M,COAT,Enhanced Dark Green Misene Fauxskin Coat Highcollar,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,MeleeDamageBonus ,1,ThrowResistance ,2,,,,
M,COAT,Enhanced Olive Misene Fauxskin Coat Highcollar,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,MeleeDamageBonus ,1,ViralResistance ,2,,,,
M,COAT,Enhanced Indigo Misene Fauxskin Coat Highcollar,22,RangedDamageResistance ,14,MaxHealthBonus ,1,ViralResistance ,14,ThrowResistance ,14,CodeWriting ,1,,
M,GLASSES,Enhanced White Pravea Sunglasses,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ThrowResistance ,1,,,,
M,GLASSES,Enhanced Brown Pravea Sunglasses,0,MeleeDamageResistance ,1,MovementSpeedBonus ,1,ThrowResistance ,1,ViralResistance ,1,,,,
M,GLASSES,Enhanced Green Pravea Sunglasses,8,RangedDamageResistance ,5,BallisticResistanceBonus ,1,ThrowResistance ,5,ViralResistance ,5,,,,
M,GLASSES,Enhanced Purple Pravea Sunglasses,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MaxHealthBonus ,1,ThrowResistance ,10,,,,
M,GLASSES,Enhanced Red Pravea Sunglasses,6,RangedDamageResistance ,4,ThrownAccuracyBonus ,1,ThrowResistance ,4,ViralResistance ,4,,,,
M,GLASSES,Enhanced Amethyst Pravea Sunglasses,6,RangedDamageResistance ,4,MeleeDamageResistance ,4,RootDurationBonus ,1,ViralResistance ,4,,,,
M,GLASSES,Enhanced Emerald Pravea Sunglasses,24,ViralDefenseBonus ,1,MeleeDamageResistance ,16,HealthRegenBonus ,1,MeleeDamageBonus ,1,ThrowResistance ,16,ViralResistance ,16
M,GLASSES,Enhanced Yellow Pravea Sunglasses,45,RangedDamageResistance ,30,ViralResistance ,30,ThrowResistance ,30,MaxInnerstrengthBonus ,2,ViralDamageBonus ,2,,
M,GLASSES,Enhanced Grey Rifters Sunglasses,15,MeleeDamageResistance ,10,InitiativeBonus ,1,MovementSpeedBonus ,1,BallisticResistanceBonus ,1,ThrowResistance ,10,ViralResistance ,10
M,GLASSES,Enhanced Brown Rifters Sunglasses,6,RangedDamageResistance ,4,BallisticResistanceBonus ,1,MaxHealthBonus ,1,ThrowResistance ,4,ViralResistance ,4,,
M,GLASSES,Enhanced Red Rifters Sunglasses,8,ViralAccuracyBonus ,1,MeleeDamageResistance ,5,ViralResistance ,5,ThrowResistance ,5,ViralDamageBonus ,1,,
M,GLASSES,Enhanced Green Rifters Sunglasses,8,SweepBonus ,1,MeleeDamageResistance ,5,ThrownAccuracyBonus ,1,ThrowResistance ,5,ViralResistance ,5,,
M,GLASSES,Enhanced Purple Rifters Sunglasses,10,RangedDamageResistance ,6,ThrowResistance ,6,ViralResistance ,6,MaxInnerstrengthBonus ,1,,,,
M,GLASSES,Enhanced Indigo Rifters Sunglasses,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeDamageBonus ,1,MaxHealthBonus ,1,ViralResistance ,5,,
M,GLASSES,Enhanced Magenta Rifters Sunglasses,25,SweepBonus ,1,MeleeDamageResistance ,16,ViralResistance ,16,ThrowResistance ,16,CodeWriting ,1,ViralDamageBonus ,1
M,GLASSES,Enhanced Jade Rifters Sunglasses,2,MeleeDamageResistance ,1,BallisticDamageBonus ,1,ThrowResistance ,1,ViralResistance ,1,,,,
M,GLASSES,Enhanced Grey Blockers Sunglasses,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticDamageBonus ,1,MeleeDamageBonus ,1,ViralResistance ,5,,
M,GLASSES,Enhanced Purple Blockers Sunglasses,8,RangedDamageResistance ,5,ViralDefenseBonus ,1,MeleeDamageResistance ,5,ThrowResistance ,5,ViralDamageBonus ,1,,
M,GLASSES,Enhanced Green Blockers Sunglasses,9,RangedDamageResistance ,6,MeleeAccuracyBonus ,1,ThrowResistance ,6,ViralResistance ,6,ConfuseDurationBonus ,1,,
M,GLASSES,Enhanced Red Blockers Sunglasses,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MaxHealthBonus ,1,ThrowResistance ,1,,,,
M,GLASSES,Enhanced Orange Blockers Sunglasses,8,RangedDamageResistance ,5,InnerstrengthCostModifierBonus ,1,MeleeDamageResistance ,5,PowerlessDurationBonus ,1,ViralResistance ,5,,
M,GLASSES,Enhanced Yellow Blockers Sunglasses,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,MeleeDamageBonus ,1,ViralResistance ,2,,,,
M,GLASSES,Enhanced Magenta Blockers Sunglasses,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticResistanceBonus ,1,ThrownDamageBonus ,1,ViralResistance ,5,,
M,GLASSES,Enhanced Jade Blockers Sunglasses,3,RangedDamageResistance ,2,MeleeDamageResistance ,2,BallisticDamageBonus ,1,ThrowResistance ,2,,,,
M,GLASSES,Enhanced White Sector Sunglasses,8,MeleeDamageResistance ,5,DebuffAreaRadiusBonus ,1,MeleeDamageBonus ,1,ViralResistance ,5,ThrowResistance ,5,,
M,GLASSES,Enhanced Brown Sector Sunglasses,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticDefenseBonus ,1,ThrowResistance ,5,,,,
M,GLASSES,Enhanced Green Sector Sunglasses,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ViralResistance ,1,,,,
M,GLASSES,Enhanced Purple Sector Sunglasses,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,HealthRegenBonus ,1,ThrowResistance ,1,,,,
M,GLASSES,Enhanced Red Sector Sunglasses,6,MeleeDamageResistance ,4,MaxHealthBonus ,1,ViralResistance ,4,ThrowResistance ,4,,,,
M,GLASSES,Enhanced Amethyst Sector Sunglasses,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,HealDamageBonus ,1,ThrowResistance ,2,,,,
M,GLASSES,Enhanced Emerald Sector Sunglasses,8,MeleeDamageResistance ,5,MeleeDamageBonus ,1,ViralResistance ,5,ThrowResistance ,5,MaxInnerstrengthBonus ,1,,
M,GLASSES,Enhanced Yellow Sector Sunglasses,2,MeleeDamageResistance ,1,BallisticAccuracyBonus ,1,ViralResistance ,1,ThrowResistance ,1,,,,
M,HAT,Enhanced Newsie Cap,2,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ViralResistance ,1,ThrowResistance ,1,,,,
M,HAT,Enhanced Street Wrangler,3,RangedDamageResistance ,2,MeleeDamageResistance ,2,MeleeDamageBonus ,1,ViralResistance ,2,,,,
M,HAT,Enhanced Flat Cap,12,RangedDamageResistance ,8,HealthRegenBonus ,1,MaxHealthBonus ,1,PowerlessDurationBonus ,1,ThrowResistance ,8,ViralResistance ,8
M,HAT,Enhanced Knit Beanie,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,InnerstrengthRegenBonus ,1,ViralResistance ,5,,,,
M,HAT,Enhanced Barrelhead Street Beanie,2,MeleeDamageResistance ,1,BallisticDamageBonus ,1,ThrowResistance ,1,ViralResistance ,1,,,,
M,HAT,Enhanced Commando Beret,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,ThrowResistance ,5,MaxInnerstrengthBonus ,1,,,,
M,HAT,Enhanced Machello Beret,12,RangedDamageResistance ,8,MeleeDamageResistance ,8,MaxHealthBonus ,1,ThrownAccuracyBonus ,1,ThrowResistance ,8,,
M,HAT,Enhanced Fedora,2,MeleeDamageResistance ,1, Crafting ,1,ViralResistance ,1,ThrowResistance ,1,,,,
M,HAT,Enhanced Archer Fedora,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,BallisticDamageBonus ,1,ViralResistance ,10,MaxInnerstrengthBonus ,1,,
M,PANTS,Enhanced White Plain Slacks,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeAccuracyBonus ,1,ViralResistance ,5,,,,
M,PANTS,Enhanced Dark Purple Plain Slacks,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MeleeAccuracyBonus ,1,ThrowResistance ,10,,,,
M,PANTS,Enhanced Dark Red Plain Slacks,6,RangedDamageResistance ,4,InnerstrengthCostModifierBonus ,1,MeleeDamageResistance ,4,ViralResistance ,4,,,,
M,PANTS,Enhanced Sea Green Plain Slacks,20,RangedDamageResistance ,13,MeleeDamageResistance ,13,InitiativeBonus ,1,ThrowResistance ,13,,,,
M,PANTS,Enhanced Brown Plain Slacks,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MeleeResistanceBonus ,1,MeleeDamageBonus ,1,ViralResistance ,10,,
M,PANTS,Enhanced Purple Plain Slacks,3,RangedDamageResistance ,2,ViralAccuracyBonus ,1,MeleeDamageResistance ,2,ViralResistance ,2,,,,
M,PANTS,Enhanced Green Plain Slacks,6,RangedDamageResistance ,4,SweepBonus ,1,BlindDurationBonus ,1,ThrowResistance ,4,ViralResistance ,4,,
M,PANTS,Enhanced Light Green Plain Slacks,16,MeleeDamageResistance ,10,MaxHealthBonus ,1,ThrowResistance ,10,ViralResistance ,10,,,,
M,PANTS,Enhanced Black Barret Fauxskin Pants,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ThrowResistance ,1,,,,
M,PANTS,Enhanced Dim Red Barret Fauxskin Pants,8,MeleeDamageResistance ,5,BuffAreaRadiusBonus ,1,ViralResistance ,5,ThrowResistance ,5,,,,
M,PANTS,Enhanced Dim Purple Barret Fauxskin Pants,14,RangedDamageResistance ,9,ViralDefenseBonus ,1,MeleeDamageResistance ,9,ThrownDefenseBonus ,1,MaxHealthBonus ,1,ViralResistance ,9
M,PANTS,Enhanced Dim Brown Barret Fauxskin Pants,14,RangedDamageResistance ,9,MeleeDamageResistance ,9,MaxHealthBonus ,1,ViralResistance ,9,,,,
M,PANTS,Enhanced Dim Crimson Barret Fauxskin Pants,36,RangedDamageResistance ,24,MeleeDamageResistance ,24,ViralResistanceBonus ,3,ViralResistance ,24,,,,
M,PANTS,Enhanced Sea Green Ivora Slacks,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BuffAreaRadiusBonus ,1,ThrowResistance ,5,,,,
M,PANTS,Enhanced Indigo Barret Fauxskin Pants,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MeleeDamageBonus ,1,ThrowResistance ,10,,,,
M,PANTS,Enhanced Dim Orange Barret Fauxskin Pants,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,StunDurationBonus ,1,HealthRegenBonus ,1,ThrowResistance ,5,,
M,PANTS,Enhanced Black Arasiki Leather Pants,14,RangedDamageResistance ,9,MeleeDamageResistance ,9,ViralResistanceBonus ,1,MaxHealthBonus ,1,ThrowResistance ,9,,
M,PANTS,Enhanced Brown Arasiki Leather Pants,18,RangedDamageResistance ,12,MeleeDamageResistance ,12,DeterminationBonus ,1,DecompileSkill ,5,ViralResistance ,12,ViralDamageBonus ,1
M,PANTS,Enhanced Red Arasiki Leather Pants,14,RangedDamageResistance ,9,MeleeDamageResistance ,9,BuffAreaRadiusBonus ,1,RootDurationBonus ,1,MaxHealthBonus ,1,ThrowResistance ,9
M,PANTS,Enhanced Purple Arasiki Leather Pants,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,ThrowResistance ,1,ConfuseDurationBonus ,1,,
M,PANTS,Enhanced Olive Green Arasiki Leather Pants,30,RangedDamageResistance ,20,MeleeDamageResistance ,20,ThrowResistance ,20,MaxInnerstrengthBonus ,2,,
M,PANTS,Enhanced Orchid Arasiki Leather Pants,8,MeleeDamageResistance ,5,ViralResistanceBonus ,1,ViralResistance ,5,ThrowResistance ,5,,
M,PANTS,Enhanced Magenta Arasiki Leather Pants,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeAccuracyBonus ,1,MeleeDamageBonus ,1,ViralResistance ,5
M,PANTS,Enhanced Green Arasiki Leather Pants,3,MeleeDamageResistance ,2,ConcentrationBonus ,1,ViralResistance ,2,ThrowResistance ,2,,
M,PANTS,Enhanced Black Misene Pinstripes,8,RangedDamageResistance ,5,InnerstrengthCostModifierBonus ,1,MeleeDamageResistance ,5,ViralResistance ,5,,
M,PANTS,Enhanced Brown Misene Pinstripes,24,RangedDamageResistance ,16,MeleeDamageResistance ,16,MeleeAccuracyBonus ,1, Crafting ,8,ViralResistance ,16
M,PANTS,Enhanced Black Ivora Slacks,30,MeleeDamageResistance ,20,ViralResistanceBonus ,2,ThrowResistance ,20,ViralResistance ,20,,
M,PANTS,Enhanced Brown Ivora Slacks,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,CompileSkill ,1,ApparelCrafting ,1,ViralResistance ,5
M,PANTS,Enhanced Tan Ivora Slacks,8,RangedDamageResistance ,5,MeleeAccuracyBonus ,1,ViralResistance ,5,ThrowResistance ,5,,
M,PANTS,Enhanced Eggplant Ivora Slacks,2,MeleeDamageResistance ,1,BallisticDefenseBonus ,1,ThrowResistance ,1,ViralResistance ,1,,
M,PANTS,Enhanced Red-Violet Ivora Slacks,8,MeleeDamageResistance ,5,ThrownAccuracyBonus ,1,ViralResistance ,5,ThrowResistance ,5,UpgradeCrafting ,1
M,PANTS,Enhanced Green Ivora Slacks,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticDefenseBonus ,1, Crafting ,1,ViralResistance ,5
M,PANTS,Enhanced Yellow Ivora Slacks,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,EnrageDurationBonus ,1,MeleeDamageBonus ,1,ThrowResistance ,5
M,PANTS,Enhanced Brown Derin Sheen Pants,8,MeleeDamageResistance ,5,RootDurationBonus ,1,ViralResistance ,5,ThrowResistance ,5,ViralDamageBonus ,1
M,PANTS,Enhanced Dark Emerald Derin Sheen Pants,3,RangedDamageResistance ,2,MeleeAccuracyBonus ,1,ThrowResistance ,2,ViralResistance ,2,,
M,PANTS,Enhanced Ruby Derin Sheen Pants,8,MeleeDamageResistance ,5,WithdrawBonus ,1,MeleeDefenseBonus ,1,ViralResistance ,5,ThrowResistance ,5,,
M,PANTS,Enhanced Dark Amethyst Derin Sheen Pants,20,InvisMovementSpeedBonus ,1,MeleeDamageResistance ,13,MaxHealthBonus ,1,InnerstrengthRegenBonus ,1,ThrowResistance ,13,ViralResistance ,13
M,PANTS,Enhanced Dark Brown Derin Sheen Pants,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,HealthRegenBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Red Wine Derin Sheen Pants,16,RangedDamageResistance ,10,MeleeDamageBonus ,1,DecompileSkill ,1,ViralResistance ,10,ThrowResistance ,10,,
M,PANTS,Enhanced Moss Derin Sheen Pants,15,MeleeDamageResistance ,10,ViralResistanceBonus ,1,HealDamageBonus ,1,ViralResistance ,10,ThrowResistance ,10,,
M,PANTS,Enhanced Grape Derin Sheen Pants,4,RangedDamageResistance ,2,MeleeDamageResistance ,2,MeleeAccuracyBonus ,1,ThrowResistance ,2,,,,
M,PANTS,Enhanced Black/Purple Hosh Chap Pants,20,RangedDamageResistance ,13,MeleeDamageResistance ,13,MaxHealthBonus ,1,ViralResistance ,13,,,,
M,PANTS,Enhanced Dark Green Hosh Chap Pants,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticResistanceBonus ,1,ViralResistance ,5,,,,
M,PANTS,Enhanced Brown/Red Hosh Chap Pants,4,RangedDamageResistance ,2,MeleeDamageBonus ,1,ViralResistance ,2,ThrowResistance ,2,,,,
M,PANTS,Enhanced Light Purple/Green Hosh Chap Pants,8,MeleeDamageResistance ,5,ThrowResistance ,5,ViralResistance ,5,ViralDamageBonus ,1,,,,
M,PANTS,Enhanced Purple/Black Hosh Chap Pants,3,RangedDamageResistance ,2,RepairSkill ,1,ThrowResistance ,2,ViralResistance ,2,,,,
M,PANTS,Enhanced Black/Black Hosh Chap Pants,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,InitiativeBonus ,1,BallisticResistanceBonus ,1,ViralResistance ,10,,
M,PANTS,Enhanced Green Hosh Chap Pants,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MovementSpeedBonus ,1,MeleeDamageBonus ,1,ThrowResistance ,5,,
M,PANTS,Enhanced Deep Purple Hosh Chap Pants,16,RangedDamageResistance ,10,MeleeDamageBonus ,1,ViralResistance ,10,ThrowResistance ,10,,,,
M,PANTS,Enhanced Dull Black Barrelhead Cargo Shorts,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,MeleeAccuracyBonus ,1,ViralResistance ,5,,,,
M,PANTS,Enhanced Brown Barrelhead Cargo Shorts,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,CompileSkill ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Purple Barrelhead Cargo Shorts,24,RangedDamageResistance ,16,ViralDefenseBonus ,1,MeleeDamageResistance ,16,HealthRegenBonus ,1,MeleeDamageBonus ,1,ViralResistance ,16
M,PANTS,Enhanced Emerald Barrelhead Cargo Shorts,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,BallisticDefenseBonus ,1,ThrowResistance ,5,,,,
M,PANTS,Enhanced Black Barrelhead Cargo Shorts,6,RangedDamageResistance ,4,MaxHealthBonus ,1,ThrowResistance ,4,ViralResistance ,4,,,,
M,PANTS,Enhanced Yellow Barrelhead Cargo Shorts,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,BallisticResistanceBonus ,1,ThrowResistance ,10,,,,
M,PANTS,Enhanced Sea Green Barrelhead Cargo Shorts,16,MeleeDamageResistance ,10,MeleeResistanceBonus ,1,BallisticResistanceBonus ,1,BallisticDamageBonus ,1,ThrowResistance ,10,ViralResistance ,10
M,PANTS,Enhanced Ruby Barrelhead Cargo Shorts,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,HealthRegenBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Black Barrelhead Panel Shorts,16,RangedDamageResistance ,10,MeleeDamageResistance ,10,MeleeResistanceBonus ,1,BallisticResistanceBonus ,1,BallisticDamageBonus ,1,ViralResistance ,10
M,PANTS,Enhanced Green Barrelhead Panel Shorts,5,RangedDamageResistance ,3,MeleeDamageResistance ,3,DecompileSkill ,1,ViralResistance ,3,,,,
M,PANTS,Enhanced Brown Barrelhead Panel Shorts,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,HealthRegenBonus ,1,ThrowResistance ,1,,,,
M,PANTS,Enhanced White Barrelhead Panel Shorts,3,RangedDamageResistance ,2,ViralDefenseBonus ,1,ViralResistance ,2,ThrowResistance ,2,,,,
M,PANTS,Enhanced Purple Barrelhead Panel Shorts,3,RangedDamageResistance ,2,MeleeDamageResistance ,2,BallisticDamageBonus ,1,ThrowResistance ,2,,,,
M,PANTS,Enhanced Magenta Barrelhead Panel Shorts,12,RangedDamageResistance ,8,MaxHealthBonus ,1,ViralResistance ,8,ThrowResistance ,8,,,,
M,PANTS,Enhanced Mint Green Barrelhead Panel Shorts,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Eggplant Barrelhead Panel Shorts,8,RangedDamageResistance ,5,MeleeDamageResistance ,5,ViralResistanceBonus ,1,MeleeDamageBonus ,1,ThrowResistance ,5,,
M,PANTS,Enhanced Gray Barrelhead Cargo Pants,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeDamageBonus ,1,ThrowResistance ,1,,,,
M,PANTS,Enhanced Brown Barrelhead Cargo Pants,15,RangedDamageResistance ,10,ViralResistance ,10,ThrowResistance ,10,MaxInnerstrengthBonus ,1,,,,
M,PANTS,Enhanced Orchid Barrelhead Cargo Pants,8,RangedDamageResistance ,5,ViralResistanceBonus ,1,ThrowResistance ,5,ViralResistance ,5,,,,
M,PANTS,Enhanced Pale Green Barrelhead Cargo Pants,8,MeleeDamageResistance ,5,HealthRegenBonus ,1,ViralResistance ,5,ThrowResistance ,5,,,,
M,PANTS,Enhanced White Barrelhead Cargo Pants,8,MeleeDamageResistance ,5,ViralResistanceBonus ,1,ViralResistance ,5,ThrowResistance ,5,,,,
M,PANTS,Enhanced Yellow Barrelhead Cargo Pants,0,RangedDamageResistance ,1,MeleeDamageResistance ,1,MovementSpeedBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Light Green Barrelhead Cargo Pants,2,InvisMovementSpeedBonus ,1,MeleeDamageResistance ,1,ThrowResistance ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Red Barrelhead Cargo Pants,8,RangedDamageResistance ,5,EnrageDurationBonus ,1,MeleeResistanceBonus ,1,ThrowResistance ,5,ViralResistance ,5,,
M,PANTS,Enhanced Dogwood Misene Pinstripes,38,RangedDamageResistance ,25,MeleeDamageResistance ,25,ToolCrafting ,2,ViralResistance ,25,CodeWriting ,2,,
M,PANTS,Enhanced Purple Misene Pinstripes,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeAccuracyBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Dark Red Misene Pinstripes,15,MeleeDamageResistance ,10,BallisticResistanceBonus ,1,ApparelCrafting ,1,HealDamageBonus ,1,ViralResistance ,10,ThrowResistance ,10
M,PANTS,Enhanced Sea Green Misene Pinstripes,2,RangedDamageResistance ,1,MeleeDamageResistance ,1,MeleeAccuracyBonus ,1,ViralResistance ,1,,,,
M,PANTS,Enhanced Yellow Misene Pinstripes,24,RangedDamageResistance ,16,ViralResistanceBonus ,1,BallisticDefenseBonus ,1,DecompileSkill ,1,ViralResistance ,16,ThrowResistance ,16
